voter,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,first_date,last_date,first_from,first_to,last_from,last_to
0x5D28FE1e9F895464aab52287d85Ebff32B351674,27,443,443,0,27,0,15,1654261774,1692244669,0x5d28fe1e9f895464aab52287d85ebff32b351674,0xfedfaf1a10335448b7fa0268f56d2b44dbd357de,0x5d28fe1e9f895464aab52287d85ebff32b351674,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0x08FB2171f08e887433A4e841BEF7C47198ab3Ac0,2,2,0,0,2,0,0,1692357685,1692358879,0x08fb2171f08e887433a4e841bef7c47198ab3ac0,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x08fb2171f08e887433a4e841bef7c47198ab3ac0,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0xA52cb670E7b05825EBB8D26dA906483C31142c24,100,613,613,0,100,0,100,1639563915,1652184947,0xa52cb670e7b05825ebb8d26da906483c31142c24,0xe592427a0aece92de3edee1f18e0157c05861564,0xa52cb670e7b05825ebb8d26da906483c31142c24,0x80c67432656d59144ceff962e8faf8926599bcf8
0x205269Ef2e5b522a0784128f72F1F5A11A610665,1,3,0,0,1,0,0,1692253363,1692253363,0x205269ef2e5b522a0784128f72f1f5a11a610665,0x15fa08599eb017f89c1712d0fe76138899fdb9db,0x205269ef2e5b522a0784128f72f1f5a11a610665,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0x36b4592471932bD743f084FF2A0a94319aFA90dE,76,100,90,0,76,0,71,1683882967,1692361193,0x36b4592471932bd743f084ff2a0a94319afa90de,0x6a886c76693ed6f4319a289e3fe2e670b803a2da,0x36b4592471932bd743f084ff2a0a94319afa90de,0x3a23f943181408eac424116af7b7790c94cb97a5
0x4AFC0c9a5C4060DF2345C5b8C73e8eDBA2DE8E47,3,11,2,0,3,0,5,1691598319,1692298591,0xc8373edfad6d5c5f600b6b2507f78431c5271ff5,0x4afc0c9a5c4060df2345c5b8c73e8edba2de8e47,0x4afc0c9a5c4060df2345c5b8c73e8edba2de8e47,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0x8eDb8A8403E289e39F7Eb5800E03e4fEA9075Bfa,100,125,125,0,100,0,93,1681753278,1692175877,0x8edb8a8403e289e39f7eb5800e03e4fea9075bfa,0x9485aca5bbbe1667ad97c7fe7c4531a624c8b1ed,0x8edb8a8403e289e39f7eb5800e03e4fea9075bfa,0x31eb3dd0e75dac10d07e8c6cfa54bcb7ae1774ce
0x8193CB4a122EaF6e60481C06FeB4df4CD811364E,2,2,0,0,2,0,0,1692361159,1692361643,0x8193cb4a122eaf6e60481c06feb4df4cd811364e,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,0x8193cb4a122eaf6e60481c06feb4df4cd811364e,0x15fa08599eb017f89c1712d0fe76138899fdb9db
0xc65D3209ce44DEF4C9D8AA0B7E5Ce5526e84530a,100,625,625,0,100,0,100,1638532325,1653229659,0xc65d3209ce44def4c9d8aa0b7e5ce5526e84530a,0x1111111254760f7ab3f16433eea9304126dcd199,0xc65d3209ce44def4c9d8aa0b7e5ce5526e84530a,0x298b9b95708152ff6968aafd889c6586e9169f1d
0xBfEe3f43355846aa2D6E0101575006324F836d86,100,127,127,0,100,0,71,1681559995,1692432407,0xbfee3f43355846aa2d6e0101575006324f836d86,0xb555edf5dcf85f42ceef1f3630a52a108e55a654,0xbfee3f43355846aa2d6e0101575006324f836d86,0x52629961f71c1c2564c5aa22372cb1b9fa9eba3e
